id,label_original,label_suggere,action,nb_items
1,Develop and manage a web user interface project using modern frontend frameworks,,KEEP,12
2,Develop and manage backend web services and supporting infrastructure,,KEEP,12
4,Coordinate and manage software project development activities,,KEEP,12
7,Configure and manage application authentication and security mechanisms,,KEEP,12
19,Configure and manage web content caching and server-side resources,,KEEP,9
20,Develop and manage extensions for a content management system,,KEEP,9
23,Configure and manage web analytics and tracking setups,,KEEP,9
29,Configure and manage email functionalities within applications,,KEEP,9
30,Configure and manage environment variables and configuration securely,,KEEP,9
36,Configure and manage content delivery network settings for web assets,,KEEP,9
38,Configure and manage caching services for application performance,,KEEP,9
50,Configure and manage database structure and queries,,KEEP,8
51,Configure and manage server-side caching systems,,KEEP,9
53,Configure and manage email notification workflows,,KEEP,9
54,Configure and manage payment processing and transaction validation,,KEEP,11
55,Develop and manage performance monitoring dashboards,,KEEP,11
62,Configure and manage centralized log collection and visualization,,KEEP,9
66,Configure and manage web search systems and data retrieval operations,,KEEP,9
68,Monitor and manage service integration operations,,KEEP,9
74,Configure and manage web push notification workflows,,KEEP,8
77,Monitor and manage server services and resource status,,KEEP,8
86,Monitor service availability and manage automated notifications,,KEEP,8
104,Configure and manage code quality and formatting tools,,KEEP,9
105,Develop and manage backend middleware components,,KEEP,9
106,Develop and manage role-based dashboards,,KEEP,9
115,Configure and manage routing in single-page applications,,KEEP,6
119,Generate and manage sample data for testing purposes,,KEEP,6
121,Configure and manage web application theming,,KEEP,9
122,Develop and manage interactive tutorial components,,KEEP,9
127,Develop and manage internal administrative tools,,KEEP,9
131,Monitor and manage frontend application errors,,KEEP,8
139,Monitor and manage frontend JavaScript error tracking,,KEEP,8
144,Build and manage dynamic forms with input validation and step tracking,,KEEP,6
145,Set up and manage event-driven service integrations,,KEEP,6
146,Generate and manage PDF documents from application data,,KEEP,6
153,Develop and manage form components with validation support,,KEEP,6
159,Configure and manage search infrastructure with data indexing,,KEEP,6
161,Configure and manage backend request handling and rate policies,,KEEP,9
163,Configure and manage live chat support systems,,KEEP,9
164,Configure email systems and manage automated message delivery,,KEEP,9
165,Build and manage user engagement analytics dashboards,,KEEP,9
174,Develop and manage interactive data visualization assets,,KEEP,6
175,Configure and manage web analytics integrations,,KEEP,6
185,Configure and manage web push notification workflows,,KEEP,9
198,Configure and manage continuous integration pipelines,,KEEP,6
199,Configure and manage marketing analytics tracking,,KEEP,6
201,Analyze and manage API response data,,KEEP,13
204,Monitor and manage application logging infrastructure,,KEEP,13
207,Deploy and manage serverless backend functions,,KEEP,13
210,Develop and manage multi-tenant web application environments,,KEEP,13
211,Configure and manage web push notification systems,,KEEP,12
212,Monitor and manage system metrics and alerts,,KEEP,12
217,Execute and manage automated regression test environments,,KEEP,12
218,Implement and manage API authentication mechanisms,,KEEP,12
226,Develop and manage reusable UI component libraries,,KEEP,10
228,Monitor and manage API integration status,,KEEP,10
231,Create and manage interactive data visualizations,,KEEP,9
237,Automate and manage data validation workflows,,KEEP,9
256,Inspect and manage user session configurations,,KEEP,9
257,Monitor and manage file upload processes,,KEEP,9
258,Monitor and manage API rate-limiting and abuse controls,,KEEP,9
261,Monitor and manage Docker container configurations,,KEEP,9
263,Monitor and manage staging environment configurations,,KEEP,9
271,Monitor and manage intrusion detection systems,,KEEP,6
273,Monitor and manage firewall configurations and network access control lists,,KEEP,6
278,Monitor and manage sensitive data handling in CI/CD pipelines,,KEEP,6
279,Monitor and manage user privilege escalation protections,,KEEP,6
280,Monitor and manage telemetry for privacy leaks,,KEEP,9
281,Validate and manage service-to-service authentication,,KEEP,9
282,Monitor and manage database access permissions,,KEEP,9
289,Monitor and manage system alerts for accuracy,,KEEP,9
297,Monitor and manage system configuration drift,,KEEP,7
345,Monitor and manage configuration drift and ensure enforcement of secure baselines,,KEEP,9
359,Monitor and manage isolation in multi-tenant cloud environments,,KEEP,9
361,Review and manage API authentication mechanisms for security,,KEEP,7
362,Monitor and manage role-based access controls in applications,,KEEP,7
363,Monitor and manage software vulnerabilities and updates,,KEEP,7
386,Validate secure handling and management of environment secrets,,KEEP,16
400,Coordinate and manage red team engagements with stakeholders,,KEEP,15
401,Develop and manage threat models for business workflows,,KEEP,12
411,Audit and manage service account permissions to enforce least-privilege policies,,KEEP,9
412,Develop and manage prioritized remediation roadmaps,,KEEP,9
414,Monitor and manage file integrity protections for critical configuration files,,KEEP,9
415,Evaluate and manage secure onboarding and offboarding processes for user accounts,,KEEP,9
437,Monitor and manage incident escalation processes and SLA compliance,,KEEP,9
438,Monitor and manage privacy controls for regulated personal data handling,,KEEP,9
439,Monitor and manage network micro-segmentation for sensitive zones,,KEEP,9
440,Monitor and manage automated response playbooks for security incidents,,KEEP,8
444,Monitor and manage cross-team remediation efforts,,KEEP,8
445,Monitor and manage secure telemetry data retention and access controls,,KEEP,8
446,Monitor and manage business continuity alignment with security controls,,KEEP,8
493,Monitor and manage remediation tasks against SLA deadlines,,KEEP,9
499,Monitor and manage executive communication during active incidents,,KEEP,9
523,Track and manage experiment results for reproducibility,,KEEP,9
524,Implement and manage real-time data feature extraction pipelines,,KEEP,9
526,Monitor and manage model inference logs and prediction errors,,KEEP,9
527,Deploy and manage monitoring dashboards for model performance,,KEEP,9
581,Apply and manage regularization techniques in machine learning models,,KEEP,9
609,Coordinate and manage cross-functional experiments across multiple teams,,KEEP,8
610,Automate and manage model deployment in containerized environments using Kubernetes and Docker,,KEEP,10
644,Monitor and manage model retraining triggers based on input data anomalies,,KEEP,9
647,Evaluate and manage multi-cloud deployment strategies for machine learning workloads,,KEEP,9
650,Develop and manage machine learning model pipelines,,KEEP,9
657,Assess and manage scalability of real-time inference services,,KEEP,9
836,Configure and manage network segmentation for sensitive data zones,,KEEP,10
899,Monitor and manage inter-branch link utilization,,KEEP,8
903,Audit and manage network device access permissions,,KEEP,8
908,Configure and manage centralized SNMP monitoring dashboards,,KEEP,8
912,Validate and manage QoS policies for video conferencing traffic,,KEEP,6
913,Monitor and manage network link redundancy across multiple sites,,KEEP,6
928,Audit inter-office link utilization and manage traffic distribution,,KEEP,7
952,Configure and manage redundant WAN connections for disaster recovery,,KEEP,9
1035,Validate and manage firmware versions on security appliances,,KEEP,8
1036,Monitor and manage network performance with automated threshold-based alerts,,KEEP,8
1042,Audit and manage NAT and port forwarding configurations,,KEEP,8
1043,Assess and manage security compliance of remote access VPNs,,KEEP,8
1044,Monitor and manage network interface error counts for maintenance,,KEEP,8
1045,Validate and manage backup and restore procedures for core devices,,KEEP,8
1046,Create and manage network performance dashboards for executives,,KEEP,8
1047,Audit and manage inter-VLAN ACL rules for policy compliance,,KEEP,8
1048,Monitor and manage wireless network client distribution,,KEEP,8
1049,Validate and manage QoS configurations for cloud-based video services,,KEEP,8
1070,Configure and manage storage systems and export block devices to hosts,,KEEP,9
1082,Enforce and manage privileged access and sudo policies,,KEEP,9
1084,Integrate and manage configuration management tools for infrastructure,,KEEP,9
1087,Configure and manage log rotation and compression policies,,KEEP,9
1088,Orchestrate and manage cluster node replacement operations,,KEEP,9
1093,Implement and manage host quarantine procedures for compromised machines,,KEEP,11
1095,Configure and manage encrypted remote access solutions,,KEEP,9
1101,Audit installed software and manage software license compliance,,KEEP,9
1103,Configure and manage automated snapshot policies for virtual hosts,,KEEP,9
1105,Implement and manage centralized authentication across multiple hosts,,KEEP,9
1117,Monitor and manage disk usage and plan for storage expansion,,KEEP,9
1118,Configure and manage host resource alerting,,KEEP,11
1120,Coordinate and manage system upgrades to new OS versions,,KEEP,9
1122,Validate and manage SELinux and AppArmor policies,,KEEP,9
1125,Configure and manage high-availability clusters for critical services,,KEEP,9
1127,Monitor and manage host-based intrusion detection systems,,KEEP,9
1137,Enforce and manage host naming conventions and metadata tags,,KEEP,9
1142,Configure and manage time synchronization for system clocks,,KEEP,9
1154,Enforce and manage mandatory access control policies across servers,,KEEP,11
1161,Monitor and manage resource contention in virtualized environments,,KEEP,11
1162,Configure and manage encryption for sensitive host partitions,,KEEP,11
1174,Audit and manage service dependencies and startup sequences,,KEEP,9
1182,Validate and manage time synchronization across clustered hosts,,KEEP,9
1192,Configure and manage high-availability services,,KEEP,9
1199,Enforce and manage configuration policies across systems,,KEEP,9
1216,Audit and manage OS service configurations,,KEEP,10
1218,Monitor and manage memory usage trends,,KEEP,10
1220,Monitor and manage RAID array health and rebuild processes,,KEEP,10
1222,Monitor and manage ephemeral storage usage,,KEEP,10
1223,Enforce and manage host security compliance across cloud instances,,KEEP,10
1225,Monitor and manage disk space usage across the system,,KEEP,10
1233,Monitor and manage critical system daemons for crashes,,KEEP,9
1279,Monitor and manage system daemon configurations for unauthorized changes,,KEEP,9
1284,Monitor and manage container host security settings,,KEEP,9
1285,Monitor and manage storage pool redundancy configurations,,KEEP,9
1335,Validate and manage system rollback mechanisms,,KEEP,8
1336,Monitor and manage RAID array rebuild processes,,KEEP,8
1338,Monitor and manage time synchronization across systems,,KEEP,8
1341,Monitor and manage network bonding configurations,,KEEP,8
1342,Monitor and manage container runtime behavior,,KEEP,8
1343,Audit and manage storage tiering and migration operations,,KEEP,8
1344,Validate and manage automated provisioning processes,,KEEP,8
1345,Monitor and manage ephemeral host creation and resource allocation,,KEEP,8
1347,Monitor and manage backup integrity through restore testing,,KEEP,8
1348,Monitor and manage host firmware update status and compliance,,KEEP,8
1349,Monitor and manage SSL certificate deployments and renewals,,KEEP,8
1353,Create and manage a spreadsheet for tracking monthly expenses,,KEEP,9
1354,Create and manage presentation slides for a project,,KEEP,9
1355,Browse and manage printer documentation and troubleshooting resources,,KEEP,9
1356,Stream and manage podcast content,,KEEP,9
1357,Organize and manage trip photos on the desktop,,KEEP,9
1361,Scan and manage documents for email distribution,,KEEP,9
1365,Extract and manage course materials from a zip archive,,KEEP,8
1376,Capture and manage screenshots for error documentation,,KEEP,10
1378,Restore and manage old document versions from backups,,KEEP,9
1382,Organize and manage daily study tasks,,KEEP,9
1386,Monitor and manage laptop battery status,,KEEP,9
1389,Monitor and manage system performance by closing unused applications,,KEEP,9
1391,Monitor and manage system security by scanning for and removing malware,,KEEP,9
1397,Download and manage movies for offline viewing,,KEEP,9
1419,Edit and manage documents and related files,,KEEP,10
1420,Install and manage system fonts for a creative project,,KEEP,10
1421,Create and manage disk image files,,KEEP,10
1422,Transfer and manage files from a USB drive to the system,,KEEP,10
1424,Edit and manage configuration files,,KEEP,10
1425,Configure and manage screen saver settings,,KEEP,10
1430,Export and manage contact information from the email app,,KEEP,10
1431,Import and manage contacts in a new mail account,,KEEP,10
1433,Configure and manage power settings for battery saver mode,,KEEP,10
