date,start,end,duration,event_type,file,app,command,raw,description
2026-04-02,22:33:44,22:59:37,126.92,app,,Google Chrome,,Envoi READme séparé - Google Chrome,"Google Chrome, application, used to use Envoi READme séparé"
2026-04-02,22:59:01,22:59:25,28.52,file,duration_file.py,Visual Studio Code,,duration_file.py - taskMonitor - Visual Studio Code,"duration_file.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It contains data related to the duration of a file."
2026-04-02,22:57:58,22:58:28,24.45,file,file_collector.sh,Visual Studio Code,,file_collector.sh - taskMonitor - Visual Studio Code,"file_collector.sh, file, opened with Visual Studio Code, contains data related to Shell script, It is used for collecting and storing files., SH"
2026-04-02,22:59:55,23:00:10,21.43,file,file_collector.py,Visual Studio Code,,file_collector.py - taskMonitor - Visual Studio Code,"file_collector.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It is used for collecting and storing files."
2026-04-02,22:25:12,22:28:24,21.13,file,TEST.py,Visual Studio Code,,TEST.py - taskMonitor - Visual Studio Code,"TEST.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It contains data related to a system or application."
2026-04-02,22:16:42,22:17:02,7.38,file,collect_file_script.sh,Visual Studio Code,,collect_file_script.sh - taskMonitor - Visual Studio Code,"collect_file_script.sh, file, opened with Visual Studio Code, contains data related to Shell script, data related to a file., SH"
2026-04-02,21:02:17,21:02:41,6.03,file,logger.py,Visual Studio Code,,logger.py - taskMonitor - Visual Studio Code,"logger.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It is used for logging data."
2026-04-02,20:59:15,20:59:21,5.52,file,extract_window_host_events.sh,Visual Studio Code,,extract_window_host_events.sh - taskMonitor - Visual Studio Code,"extract_window_host_events.sh, file, opened with Visual Studio Code, contains data related to Shell script, It serves as a backup window for events., SH"
2026-04-02,22:58:32,22:58:57,4.83,file,get_collect_file.py,Visual Studio Code,,get_collect_file.py - taskMonitor - Visual Studio Code,"get_collect_file.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, data related to get collecting files."
2026-04-02,21:32:10,21:32:23,4.65,file,log_extractor.sh,Visual Studio Code,,log_extractor.sh - taskMonitor - Visual Studio Code,"log_extractor.sh, file, opened with Visual Studio Code, contains data related to Shell script, It serves as a log extractor., SH"
2026-04-02,21:14:56,21:15:16,2.4,file,config.py,Visual Studio Code,,config.py - taskMonitor - Visual Studio Code,"config.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It provides a default configuration for a system."
2026-04-02,21:12:55,21:13:35,2.38,file,log_extractor.py,Visual Studio Code,,log_extractor.py - taskMonitor - Visual Studio Code,"log_extractor.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It serves as a log extractor."
2026-04-02,22:03:45,22:03:47,2.37,app,,Google Chrome,,google translate - Recherche Google - Google Chrome,"Google Chrome, application, used to use google translate - Recherche Google"
2026-04-02,20:44:11,20:46:10,1.98,file,window_changes.log,Visual Studio Code,,window_changes.log - taskMonitor - Visual Studio Code,"window_changes.log, file, opened with Visual Studio Code, contains data related to Application log, text files, It contains changes in window settings."
2026-04-02,21:15:16,21:16:33,1.97,file,models.py,Visual Studio Code,,models.py - taskMonitor - Visual Studio Code,"models.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It is designed to assist with model maintenance tasks."
2026-04-02,20:43:36,20:43:54,1.97,file,__init__.py,Visual Studio Code,,__init__.py - taskMonitor - Visual Studio Code,"__init__.py, file, opened with Visual Studio Code, contains data related to Python 3 script, text files, It serves as a placeholder for a system or application."
2026-04-02,20:42:53,20:44:43,1.83,app,,Google Chrome,,GitHub Authentication - Sign In - Google Chrome,"Google Chrome, application, used to review code on GitHub Authentication - Sign In"
2026-04-02,21:49:36,21:49:47,1.77,file,Opened_file.txt,Visual Studio Code,,Opened_file.txt - taskMonitor - Visual Studio Code,"Opened_file.txt, file, opened with Visual Studio Code, contains data related to Plain text document, text files, a file for open purposes."
2026-04-02,22:31:59,22:33:32,1.55,app,,Google Chrome,,(8) Black Bird Season 1 Episode 6 Best Acting in a TV show - YouTube - Google Chrome,"Google Chrome, application, used to watch (8) Black Bird Season 1 Episode 6 Best Acting in a TV show - YouTube"
2026-04-02,20:57:50,20:59:00,1.17,file,window_monitor.sh,Visual Studio Code,,window_monitor.sh - taskMonitor - Visual Studio Code,"window_monitor.sh, file, opened with Visual Studio Code, contains data related to Shell script, It monitors the performance of windows., SH"
2026-04-02,22:02:47,22:03:45,0.97,app,,Google Chrome,,Hifika Mija avoko production - Recherche Google - Google Chrome,"Google Chrome, application, used to use Hifika Mija avoko production - Recherche Google"
2026-04-02,22:30:15,22:31:10,0.92,app,,Google Chrome,,tueur en serie organise - Recherche Google - Google Chrome,"Google Chrome, application, used to use tueur en serie organise - Recherche Google"
2026-04-02,20:41:30,20:42:11,0.68,app,,Google Chrome,,Boîte de réception (37) - ralaikotonadia@gmail.com - Gmail - Google Chrome,"Google Chrome, application, used to read and write emails on Boîte de réception (37) - ralaikotonadia@gmail.com - Gmail"
2026-04-02,22:02:02,22:02:32,0.5,app,,Google Chrome,,Hifika Mija - Recherche Google - Google Chrome,"Google Chrome, application, used to use Hifika Mija - Recherche Google"
2026-04-02,22:29:49,22:30:15,0.43,app,,Google Chrome,,Hannibla lecter - Recherche Google - Google Chrome,"Google Chrome, application, used to use Hannibla lecter - Recherche Google"
2026-04-02,20:43:54,20:44:11,0.28,file,pyproject.toml,Visual Studio Code,,pyproject.toml - taskMonitor - Visual Studio Code,"pyproject.toml, file, opened with Visual Studio Code, contains data related to TOML document, TOML configuration, It serves as a py project."
2026-04-02,22:29:41,22:29:49,0.28,app,,Google Chrome,,New Tab - Google Chrome,"Google Chrome, application, used to use New Tab"
2026-04-02,20:42:15,20:42:31,0.27,app,,Google Chrome,,Connexion : comptes Google - Google Chrome,"Google Chrome, application, used to use Connexion : comptes Google"
2026-04-02,22:02:32,22:02:47,0.25,app,,Google Chrome,,Hifika Mija film gasy - Recherche Google - Google Chrome,"Google Chrome, application, used to use Hifika Mija film gasy - Recherche Google"
2026-04-02,20:51:11,20:51:17,0.23,app,,taskMonitor,,taskMonitor,"taskMonitor, application, used by the user"
2026-04-02,21:49:30,21:49:36,0.23,file,Closed_file.txt,Visual Studio Code,,Closed_file.txt - taskMonitor - Visual Studio Code,"Closed_file.txt, file, opened with Visual Studio Code, contains data related to Plain text document, text files, It serves as a closed file."
2026-04-02,22:33:32,22:33:44,0.2,app,,Google Chrome,,(8) Taylor Swift - Elizabeth Taylor (Clip officiel) - YouTube - Google Chrome,"Google Chrome, application, used to watch (8) Taylor Swift - Elizabeth Taylor (Clip officiel) - YouTube"
2026-04-02,22:31:46,22:31:56,0.17,app,,Google Chrome,,(8) Bird TVshow - YouTube - Google Chrome,"Google Chrome, application, used to watch (8) Bird TVshow - YouTube"
2026-04-02,22:31:56,22:31:59,0.15,app,,Google Chrome,,(8) Saweetie & GALXARA - Sway With Me (from Birds of Prey: The Album) [Official Audio] - YouTube - Google Chrome,"Google Chrome, application, used to watch (8) Saweetie & GALXARA - Sway With Me (from Birds of Prey: The Album) [Official Audio] - YouTube"
2026-04-02,20:42:45,20:42:47,0.1,app,,Google Chrome,,GitHub · Where software is built - Google Chrome,"Google Chrome, application, used to review code on GitHub · Where software is built"
2026-04-02,20:42:39,20:42:45,0.1,app,,Google Chrome,,[GitHub] Please verify your device - ralaikotonadia@gmail.com - Gmail - Google Chrome,"Google Chrome, application, used to read and write emails on [GitHub] Please verify your device - ralaikotonadia@gmail.com - Gmail"
2026-04-02,22:31:34,22:31:40,0.1,app,,Google Chrome,,Saweetie & GALXARA - Sway With Me (from Birds of Prey: The Album) [Official Audio] - YouTube - Google Chrome,"Google Chrome, application, used to watch Saweetie & GALXARA - Sway With Me (from Birds of Prey: The Album) [Official Audio] - YouTube"
2026-04-02,20:41:26,20:41:30,0.07,app,,Google Chrome,,The Strange Math That Predicts (Almost) Anything - YouTube - Google Chrome,"Google Chrome, application, used to watch The Strange Math That Predicts (Almost) Anything - YouTube"
2026-04-02,20:42:35,20:42:39,0.07,app,,Google Chrome,,Boîte de réception (38) - ralaikotonadia@gmail.com - Gmail - Google Chrome,"Google Chrome, application, used to read and write emails on Boîte de réception (38) - ralaikotonadia@gmail.com - Gmail"
