date,start,end,duration,event_type,file,app,command,raw
2026-04-06,10:44:38,10:46:05,4.58,app,,Google Chrome,,(10) Chinchilla - Little Girl Gone (Lyrics) - YouTube - Google Chrome
2026-04-06,10:43:27,10:44:38,1.18,app,,Google Chrome,,2002 Teen Fashion - Google Chrome
2026-04-06,10:45:02,10:45:31,0.48,file,data_command.txt,Visual Studio Code,,data_command.txt - taskMonitor - Visual Studio Code
2026-04-06,10:45:37,10:46:03,0.43,app,,Terminal,,Terminal
2026-04-06,10:43:21,10:43:27,0.2,app,,Google Chrome,,New Tab - Google Chrome
2026-04-06,10:45:17,10:45:29,0.2,app,,Burp Suite Community Edition v2025.7.4,,Burp Suite Community Edition v2025.7.4
2026-04-06,10:46:46,10:46:56,0.17,directory,,,,Documents
2026-04-06,10:44:54,10:45:02,0.13,file,config.py,Visual Studio Code,,config.py - taskMonitor - Visual Studio Code
2026-04-06,10:40:05,10:40:09,0.07,app,,Google Chrome,,YouTube - Google Chrome
2026-04-06,10:40:09,10:40:13,0.07,app,,Google Chrome,,(10) YouTube - Google Chrome
2026-04-06,10:47:28,10:47:30,0.07,app,,Visual Studio Code,,Visual Studio Code
2026-04-06,09:54:56,09:54:58,0.033,command,,Terminal,code .,code .
2026-04-06,10:12:55,10:12:57,0.033,command,,Terminal,ls taskmonitor/,ls taskmonitor/
2026-04-06,10:13:04,10:13:06,0.033,command,,Terminal,ls taskmonitor/processing/,ls taskmonitor/processing/
2026-04-06,10:13:25,10:13:27,0.033,command,,Terminal,ls taskmonitor/models/,ls taskmonitor/models/
2026-04-06,10:13:35,10:13:37,0.033,command,,Terminal,ls taskmonitor/external/,ls taskmonitor/external/
2026-04-06,10:13:45,10:13:47,0.033,command,,Terminal,ls taskmonitor/dicts/,ls taskmonitor/dicts/
2026-04-06,10:13:50,10:13:52,0.033,command,,Terminal,ls taskmonitor/resources/,ls taskmonitor/resources/
2026-04-06,10:13:54,10:13:56,0.033,command,,Terminal,ls taskmonitor/services/,ls taskmonitor/services/
2026-04-06,10:16:37,10:16:39,0.033,command,,Terminal,clear,clear
2026-04-06,10:16:44,10:16:46,0.033,command,,Terminal,ls taskmonitor/processing/clusterer/,ls taskmonitor/processing/clusterer/
2026-04-06,10:16:48,10:16:50,0.033,command,,Terminal,ls taskmonitor/processing/,ls taskmonitor/processing/
2026-04-06,10:18:51,10:18:53,0.033,command,,Terminal,clear,clear
2026-04-06,10:18:52,10:18:54,0.033,command,,Terminal,ls taskmonitor/processing/,ls taskmonitor/processing/
