date,start,end,duration,event_type,file,app,command,raw,directory,description
2026-03-10,17:15:08,17:15:53,8.33,file,data_file.txt,Visual Studio Code,,data_file.txt - Visual Studio Code,,data_file.txt text file opened with Visual Studio Code to work on data related to a database.
2026-03-10,17:01:43,17:05:28,3.75,app,,Brave,,"SEKAI NO OWARI ""The Peak"" ONE PIECE Lyrics MV - YouTube - Brave",,"Brave used to watch SEKAI NO OWARI ""The Peak"" ONE PIECE Lyrics MV - YouTube"
2026-03-10,17:12:42,17:12:46,1.77,file,Closed_file.txt,Visual Studio Code,,Closed_file.txt - Visual Studio Code,,Closed_file.txt text file opened with Visual Studio Code to work on a closed file.
2026-03-10,17:13:16,17:14:23,1.12,file,collect_file_script.sh,Visual Studio Code,,collect_file_script.sh - Visual Studio Code,,collect_file_script.sh shell script opened with Visual Studio Code to work on data related to files.
2026-03-10,17:12:46,17:12:48,0.92,file,collected_file.txt,Visual Studio Code,,collected_file.txt - Visual Studio Code,,collected_file.txt text file opened with Visual Studio Code to work on data related to a collected file.
2026-03-10,17:02:15,17:02:44,0.55,file,prev_windows.txt,Visual Studio Code,,prev_windows.txt - Visual Studio Code,,prev_windows.txt text file opened with Visual Studio Code to work on a prev window for a system.
2026-03-10,17:14:52,17:15:02,0.48,file,get_collect_file.py,Visual Studio Code,,get_collect_file.py - Visual Studio Code,,get_collect_file.py Python script opened with Visual Studio Code to work on data related to a file.
2026-03-10,17:15:53,17:16:11,0.3,file,correct_Closed_file.py,Visual Studio Code,,correct_Closed_file.py - Visual Studio Code,,correct_Closed_file.py Python script opened with Visual Studio Code to work on a deleted file.
2026-03-10,17:15:02,17:15:08,0.27,file,duration_file.py,Visual Studio Code,,duration_file.py - Visual Studio Code,,duration_file.py Python script opened with Visual Studio Code to work on data related to a duration of file.
2026-03-10,17:12:36,17:12:42,0.27,file,Opened_file.txt,Visual Studio Code,,Opened_file.txt - Visual Studio Code,,Opened_file.txt text file opened with Visual Studio Code to work on a file.
2026-03-10,17:02:13,17:02:15,0.17,file,window_changes.log,Visual Studio Code,,window_changes.log - Visual Studio Code,,window_changes.log log file opened with Visual Studio Code to work on changes or changes to a window.
2026-03-10,17:02:23,17:02:27,0.07,app,,Terminal,,Terminal,,Terminal application used by the user
2026-03-10,17:12:16,17:11:15,-1.02,app,,Desktop Icons 1,,Desktop Icons 1,,Desktop Icons 1 application used by the user
2026-03-10,10:31:37,10:31:39,0.033,command,,Terminal,code .,code .,,code . command used to start visual studio code
2026-03-10,10:46:49,10:46:51,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,10:47:46,10:47:48,0.033,command,,Terminal,bash extract_window_events.sh,bash extract_window_events.sh,,"bash extract_window_events.sh command used to start an interactive shell session, with the extract_window_events.sh file"
2026-03-10,10:47:59,10:48:01,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,10:48:14,10:48:16,0.033,command,,Terminal,bash corrected_monitor_windows.sh,bash corrected_monitor_windows.sh,,"bash corrected_monitor_windows.sh command used to start an interactive shell session, with the corrected_monitor_windows.sh file"
2026-03-10,10:48:52,10:48:54,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,10:48:58,10:49:00,0.033,command,,Terminal,sudo bash corrected_monitor_windows.sh,sudo bash corrected_monitor_windows.sh,,"sudo bash corrected_monitor_windows.sh command used to start an interactive shell session, with the corrected_monitor_windows.sh file"
2026-03-10,10:53:07,10:53:09,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,10:53:07,10:53:09,0.033,command,,Terminal,ls,ls,,ls command used to list directory contents
2026-03-10,11:21:00,11:21:02,0.033,command,,Terminal,pgrep -a xwinwrap,pgrep -a xwinwrap,,pgrep -a xwinwrap command used to list pid and full command line
2026-03-10,11:21:05,11:21:07,0.033,command,,Terminal,exit,exit,,exit command used to exit with the exit status of the most recently executed command
2026-03-10,13:06:37,13:06:39,0.033,command,,Terminal,cat ~/.local/share/xorg/Xorg.0.log | grep EE,cat ~/.local/share/xorg/Xorg.0.log | grep EE,,"cat ~/.local/share/xorg/Xorg.0.log | grep EE command used to print the contents of a file to `stdout`, with the ~/.local/share/xorg/Xorg.0.log file"
2026-03-10,13:08:01,13:08:03,0.033,command,,Terminal,code .,code .,,code . command used to start visual studio code
2026-03-10,13:31:08,13:31:10,0.033,command,,Terminal,mpv,mpv,,mpv command used to play a video or audio from a url or file
2026-03-10,13:31:51,13:31:53,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,13:31:52,13:31:54,0.033,command,,Terminal,top,top,,top command used to start `top`
2026-03-10,13:51:59,13:52:01,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,13:52:27,13:52:29,0.033,command,,Terminal,sudo apt remove xserver-xorg-video-intel,sudo apt remove xserver-xorg-video-intel,,sudo apt remove xserver-xorg-video-intel command used to remove packages
2026-03-10,13:52:40,13:52:42,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,13:58:27,13:58:29,0.033,command,,Terminal,bash corrected_monitor_windows.sh,bash corrected_monitor_windows.sh,,"bash corrected_monitor_windows.sh command used to start an interactive shell session, with the corrected_monitor_windows.sh file"
2026-03-10,13:59:22,13:59:24,0.033,command,,Terminal,grep -i modeset /var/log/Xorg.0.log,grep -i modeset /var/log/Xorg.0.log,,"grep -i modeset /var/log/Xorg.0.log command used to ignore case distinctions in patterns and data --no-ignore-case do not ignore case distinctions (default), with the /var/log/Xorg.0.log file"
2026-03-10,14:02:54,14:02:56,0.033,command,,Terminal,journalctl -b | grep Xorg,journalctl -b | grep Xorg,,journalctl -b | grep Xorg command used to show current boot or the specified boot
2026-03-10,14:03:41,14:03:43,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
2026-03-10,14:03:45,14:03:47,0.033,command,,Terminal,"grep -iE ""EE|WW|modeset|intel|i915"" ~/.local/share/xorg/Xorg.0.log","grep -iE ""EE|WW|modeset|intel|i915"" ~/.local/share/xorg/Xorg.0.log",,"grep -iE ""EE|WW|modeset|intel|i915"" ~/.local/share/xorg/Xorg.0.log command used to search for a pattern case-insensitively using extended regex in a file, with the ~/.local/share/xorg/Xorg.0.log file"
2026-03-10,14:05:00,14:05:02,0.033,command,,Terminal,clear,clear,,clear command used to clear the screen
