date,start,end,duration,event_type,file,app,command,raw
2026-03-10,17:15:08,17:15:53,8.33,file,data_file.txt,Visual Studio Code,,data_file.txt - Visual Studio Code
2026-03-10,17:01:43,17:05:28,3.75,app,,Brave,,"SEKAI NO OWARI ""The Peak"" ONE PIECE Lyrics MV - YouTube - Brave"
2026-03-10,17:12:42,17:12:46,1.77,file,Closed_file.txt,Visual Studio Code,,Closed_file.txt - Visual Studio Code
2026-03-10,17:13:16,17:14:23,1.12,file,collect_file_script.sh,Visual Studio Code,,collect_file_script.sh - Visual Studio Code
2026-03-10,17:12:46,17:12:48,0.92,file,collected_file.txt,Visual Studio Code,,collected_file.txt - Visual Studio Code
2026-03-10,17:02:15,17:02:44,0.55,file,prev_windows.txt,Visual Studio Code,,prev_windows.txt - Visual Studio Code
2026-03-10,17:14:52,17:15:02,0.48,file,get_collect_file.py,Visual Studio Code,,get_collect_file.py - Visual Studio Code
2026-03-10,17:15:53,17:16:11,0.3,file,correct_Closed_file.py,Visual Studio Code,,correct_Closed_file.py - Visual Studio Code
2026-03-10,17:15:02,17:15:08,0.27,file,duration_file.py,Visual Studio Code,,duration_file.py - Visual Studio Code
2026-03-10,17:12:36,17:12:42,0.27,file,Opened_file.txt,Visual Studio Code,,Opened_file.txt - Visual Studio Code
2026-03-10,17:02:13,17:02:15,0.17,file,window_changes.log,Visual Studio Code,,window_changes.log - Visual Studio Code
2026-03-10,17:02:23,17:02:27,0.07,app,,Terminal,,Terminal
2026-03-10,17:12:16,17:11:15,-1.02,app,,Desktop Icons 1,,Desktop Icons 1
2026-03-10,10:31:37,10:31:39,0.033,command,,Terminal,code .,code .
2026-03-10,10:46:49,10:46:51,0.033,command,,Terminal,clear,clear
2026-03-10,10:47:46,10:47:48,0.033,command,,Terminal,bash extract_window_events.sh,bash extract_window_events.sh
2026-03-10,10:47:59,10:48:01,0.033,command,,Terminal,clear,clear
2026-03-10,10:48:14,10:48:16,0.033,command,,Terminal,bash corrected_monitor_windows.sh,bash corrected_monitor_windows.sh
2026-03-10,10:48:52,10:48:54,0.033,command,,Terminal,clear,clear
2026-03-10,10:48:58,10:49:00,0.033,command,,Terminal,sudo bash corrected_monitor_windows.sh,sudo bash corrected_monitor_windows.sh
2026-03-10,10:53:07,10:53:09,0.033,command,,Terminal,clear,clear
2026-03-10,10:53:07,10:53:09,0.033,command,,Terminal,ls,ls
2026-03-10,11:21:00,11:21:02,0.033,command,,Terminal,pgrep -a xwinwrap,pgrep -a xwinwrap
2026-03-10,11:21:05,11:21:07,0.033,command,,Terminal,exit,exit
2026-03-10,13:06:37,13:06:39,0.033,command,,Terminal,cat ~/.local/share/xorg/Xorg.0.log | grep EE,cat ~/.local/share/xorg/Xorg.0.log | grep EE
2026-03-10,13:08:01,13:08:03,0.033,command,,Terminal,code .,code .
2026-03-10,13:31:08,13:31:10,0.033,command,,Terminal,mpv,mpv
2026-03-10,13:31:51,13:31:53,0.033,command,,Terminal,clear,clear
2026-03-10,13:31:52,13:31:54,0.033,command,,Terminal,top,top
2026-03-10,13:51:59,13:52:01,0.033,command,,Terminal,clear,clear
2026-03-10,13:52:27,13:52:29,0.033,command,,Terminal,sudo apt remove xserver-xorg-video-intel,sudo apt remove xserver-xorg-video-intel
2026-03-10,13:52:40,13:52:42,0.033,command,,Terminal,clear,clear
2026-03-10,13:58:27,13:58:29,0.033,command,,Terminal,bash corrected_monitor_windows.sh,bash corrected_monitor_windows.sh
2026-03-10,13:59:22,13:59:24,0.033,command,,Terminal,grep -i modeset /var/log/Xorg.0.log,grep -i modeset /var/log/Xorg.0.log
2026-03-10,14:02:54,14:02:56,0.033,command,,Terminal,journalctl -b | grep Xorg,journalctl -b | grep Xorg
2026-03-10,14:03:41,14:03:43,0.033,command,,Terminal,clear,clear
2026-03-10,14:03:45,14:03:47,0.033,command,,Terminal,"grep -iE ""EE|WW|modeset|intel|i915"" ~/.local/share/xorg/Xorg.0.log","grep -iE ""EE|WW|modeset|intel|i915"" ~/.local/share/xorg/Xorg.0.log"
2026-03-10,14:05:00,14:05:02,0.033,command,,Terminal,clear,clear
2026-03-10,14:06:16,14:06:18,0.033,command,,Terminal,sudo nano /etc/environment,sudo nano /etc/environment
2026-03-10,14:06:35,14:06:37,0.033,command,,Terminal,ls /etc/,ls /etc/
2026-03-10,14:08:20,14:08:22,0.033,command,,Terminal,clear,clear
2026-03-10,14:08:28,14:08:30,0.033,command,,Terminal,sudo cat /etc/environment,sudo cat /etc/environment
2026-03-10,14:33:00,14:33:02,0.033,command,,Terminal,sudo nano /etc/hosts,sudo nano /etc/hosts
2026-03-10,14:33:17,14:33:19,0.033,command,,Terminal,sudo nano /etc/host,sudo nano /etc/host
2026-03-10,14:33:25,14:33:27,0.033,command,,Terminal,clear,clear
2026-03-10,14:33:28,14:33:30,0.033,command,,Terminal,ls /etc/,ls /etc/
2026-03-10,14:33:49,14:33:51,0.033,command,,Terminal,sudo cat /etc/hosts,sudo cat /etc/hosts
2026-03-10,14:34:14,14:34:16,0.033,command,,Terminal,code /etc/hosts,code /etc/hosts
2026-03-10,14:35:11,14:35:13,0.033,command,,Terminal,touch etc-hosts.txt,touch etc-hosts.txt
2026-03-10,14:35:14,14:35:16,0.033,command,,Terminal,code etc-hosts.txt,code etc-hosts.txt
2026-03-10,14:38:16,14:38:18,0.033,command,,Terminal,sudo cat /etc/hosts,sudo cat /etc/hosts
2026-03-10,14:38:43,14:38:45,0.033,command,,Terminal,clear,clear
2026-03-10,14:38:46,14:38:48,0.033,command,,Terminal,hostname,hostname
2026-03-10,14:40:16,14:40:18,0.033,command,,Terminal,sudo hostnamectl set-hostname aidan-Lenovo-N50-70,sudo hostnamectl set-hostname aidan-Lenovo-N50-70
2026-03-10,14:40:18,14:40:20,0.033,command,,Terminal,hostname,hostname
2026-03-10,14:43:34,14:43:36,0.033,command,,Terminal,clear,clear
2026-03-10,14:43:35,14:43:37,0.033,command,,Terminal,ls,ls
2026-03-10,14:43:41,14:43:43,0.033,command,,Terminal,bash extract_window_events.sh,bash extract_window_events.sh
2026-03-10,14:51:54,14:51:56,0.033,command,,Terminal,cd ~,cd ~
2026-03-10,14:51:56,14:51:58,0.033,command,,Terminal,clear,clear
2026-03-10,14:51:57,14:51:59,0.033,command,,Terminal,ls,ls
2026-03-10,14:58:34,14:58:36,0.033,command,,Terminal,clear,clear
2026-03-10,14:58:54,14:58:56,0.033,command,,Terminal,touch extract_window_host_events.sh,touch extract_window_host_events.sh
2026-03-10,14:59:02,14:59:04,0.033,command,,Terminal,code .,code .
2026-03-10,14:59:49,14:59:51,0.033,command,,Terminal,chmod +x extract_window_host_events.sh,chmod +x extract_window_host_events.sh
2026-03-10,14:59:50,14:59:52,0.033,command,,Terminal,clear,clear
2026-03-10,14:59:51,14:59:53,0.033,command,,Terminal,ls,ls
2026-03-10,14:59:53,14:59:55,0.033,command,,Terminal,clear,clear
2026-03-10,15:01:21,15:01:23,0.033,command,,Terminal,exit,exit
2026-03-10,15:01:22,15:01:24,0.033,command,,Terminal,exit,exit
2026-03-10,15:01:25,15:01:27,0.033,command,,Terminal,exit,exit
2026-03-10,15:01:50,15:01:52,0.033,command,,Terminal,exit,exit
2026-03-10,15:02:16,15:02:18,0.033,command,,Terminal,code .,code .
2026-03-10,15:02:27,15:02:29,0.033,command,,Terminal,clear,clear
2026-03-10,15:02:35,15:02:37,0.033,command,,Terminal,bash corrected_monitor_windows.sh,bash corrected_monitor_windows.sh
2026-03-10,15:22:18,15:22:20,0.033,command,,Terminal,bash extract_window_host_events.sh,bash extract_window_host_events.sh
2026-03-10,16:04:53,16:04:55,0.033,command,,Terminal,sudo nano /etc/hosts,sudo nano /etc/hosts
2026-03-10,16:05:19,16:05:21,0.033,command,,Terminal,sudo cat /etc/hosts,sudo cat /etc/hosts
2026-03-10,16:05:37,16:05:39,0.033,command,,Terminal,exit,exit
2026-03-10,16:09:54,16:09:56,0.033,command,,Terminal,google-chrome,google-chrome
2026-03-10,16:10:22,16:10:24,0.033,command,,Terminal,cat /etc/hosts,cat /etc/hosts
2026-03-10,16:10:27,16:10:29,0.033,command,,Terminal,hostname,hostname
2026-03-10,16:10:32,16:10:34,0.033,command,,Terminal,hostnamectl,hostnamectl
2026-03-10,16:13:47,16:13:49,0.033,command,,Terminal,clear,clear
2026-03-10,16:13:51,16:13:53,0.033,command,,Terminal,pkill chrome,pkill chrome
2026-03-10,16:14:02,16:14:04,0.033,command,,Terminal,pkill chromium,pkill chromium
2026-03-10,16:14:34,16:14:36,0.033,command,,Terminal,rm ~/.config/google-chrome/Singleton*,rm ~/.config/google-chrome/Singleton*
2026-03-10,16:14:40,16:14:42,0.033,command,,Terminal,google-chrome,google-chrome
2026-03-10,16:19:15,16:19:17,0.033,command,,Terminal,pkill brave,pkill brave
2026-03-10,16:19:57,16:19:59,0.033,command,,Terminal,rm ~/.config/BraveSoftware/Brave-Browser/Singleton*,rm ~/.config/BraveSoftware/Brave-Browser/Singleton*
2026-03-10,16:20:27,16:20:29,0.033,command,,Terminal,rm ~/.config/BraveSoftware/Brave-Browser/Default/LOCK,rm ~/.config/BraveSoftware/Brave-Browser/Default/LOCK
2026-03-10,16:20:38,16:20:40,0.033,command,,Terminal,brave-browser,brave-browser
2026-03-10,16:22:46,16:22:48,0.033,command,,Terminal,pkill firefox,pkill firefox
2026-03-10,16:23:10,16:23:12,0.033,command,,Terminal,rm ~/.mozilla/firefox/*.default*/lock,rm ~/.mozilla/firefox/*.default*/lock
2026-03-10,16:23:46,16:23:48,0.033,command,,Terminal,rm ~/.mozilla/firefox/*.default*/.parentlock,rm ~/.mozilla/firefox/*.default*/.parentlock
2026-03-10,16:23:52,16:23:54,0.033,command,,Terminal,firefox,firefox
2026-03-10,16:24:28,16:24:30,0.033,command,,Terminal,clear,clear
2026-03-10,16:28:02,16:28:04,0.033,command,,Terminal,sudo apt install --reinstall fontconfig,sudo apt install --reinstall fontconfig
2026-03-10,16:28:27,16:28:29,0.033,command,,Terminal,fc-cache -fv,fc-cache -fv
2026-03-10,16:28:37,16:28:39,0.033,command,,Terminal,clear,clear
2026-03-10,16:28:57,16:28:59,0.033,command,,Terminal,sudo apt update,sudo apt update
2026-03-10,16:29:14,16:29:16,0.033,command,,Terminal,clear,clear
2026-03-10,16:31:17,16:31:19,0.033,command,,Terminal,clear,clear
2026-03-10,16:31:19,16:31:21,0.033,command,,Terminal,brave-browser,brave-browser
2026-03-10,16:31:56,16:31:58,0.033,command,,Terminal,ls -la ~/.config | grep Brave,ls -la ~/.config | grep Brave
2026-03-10,16:32:03,16:32:05,0.033,command,,Terminal,sudo chown -R $USER:$USER ~/.config/BraveSoftware,sudo chown -R $USER:$USER ~/.config/BraveSoftware
2026-03-10,16:32:12,16:32:14,0.033,command,,Terminal,cat /etc/hosts,cat /etc/hosts
2026-03-10,16:32:17,16:32:19,0.033,command,,Terminal,hostname,hostname
2026-03-10,16:32:20,16:32:22,0.033,command,,Terminal,hostnamectl,hostnamectl
2026-03-10,16:33:53,16:33:55,0.033,command,,Terminal,clear,clear
2026-03-10,16:34:01,16:34:03,0.033,command,,Terminal,clear,clear
2026-03-10,16:34:03,16:34:05,0.033,command,,Terminal,sudo apt install --reinstall fontconfig fontconfig-config,sudo apt install --reinstall fontconfig fontconfig-config
2026-03-10,16:34:20,16:34:22,0.033,command,,Terminal,fc-cache -fv,fc-cache -fv
2026-03-10,16:34:43,16:34:45,0.033,command,,Terminal,brave-browser,brave-browser
2026-03-10,16:36:04,16:36:06,0.033,command,,Terminal,clear,clear
2026-03-10,16:36:06,16:36:08,0.033,command,,Terminal,mv ~/.config/BraveSoftware ~/.config/BraveSoftware_backup,mv ~/.config/BraveSoftware ~/.config/BraveSoftware_backup
2026-03-10,16:36:15,16:36:17,0.033,command,,Terminal,brave-browser,brave-browser
2026-03-10,16:36:56,16:36:58,0.033,command,,Terminal,rm ~/.config/BraveSoftware/Brave-Browser/Singleton*,rm ~/.config/BraveSoftware/Brave-Browser/Singleton*
2026-03-10,16:38:04,16:38:06,0.033,command,,Terminal,gtk-launch brave-browser,gtk-launch brave-browser
2026-03-10,16:38:45,16:38:47,0.033,command,,Terminal,journalctl --user -n 50,journalctl --user -n 50
2026-03-10,16:40:02,16:40:04,0.033,command,,Terminal,clear,clear
2026-03-10,16:40:04,16:40:06,0.033,command,,Terminal,sudo apt remove --purge brave-browser,sudo apt remove --purge brave-browser
2026-03-10,16:40:14,16:40:16,0.033,command,,Terminal,clear,clear
2026-03-10,16:40:27,16:40:29,0.033,command,,Terminal,sudo apt remove --purge brave-browser,sudo apt remove --purge brave-browser
2026-03-10,16:40:30,16:40:32,0.033,command,,Terminal,clear,clear
2026-03-10,16:40:39,16:40:41,0.033,command,,Terminal,rm -rf ~/.config/BraveSoftware,rm -rf ~/.config/BraveSoftware
2026-03-10,16:40:47,16:40:49,0.033,command,,Terminal,rm -rf ~/.cache/BraveSoftware,rm -rf ~/.cache/BraveSoftware
2026-03-10,16:40:53,16:40:55,0.033,command,,Terminal,sudo apt autoremove,sudo apt autoremove
2026-03-10,16:43:27,16:43:29,0.033,command,,Terminal,clear,clear
2026-03-10,16:43:30,16:43:32,0.033,command,,Terminal,sudo apt autoremove,sudo apt autoremove
2026-03-10,16:43:33,16:43:35,0.033,command,,Terminal,clear,clear
2026-03-10,16:43:36,16:43:38,0.033,command,,Terminal,sudo apt update,sudo apt update
2026-03-10,16:47:41,16:47:43,0.033,command,,Terminal,clear,clear
2026-03-10,16:47:45,16:47:47,0.033,command,,Terminal,sudo apt update,sudo apt update
2026-03-10,16:48:56,16:48:58,0.033,command,,Terminal,sudo curl -fsSLo /usr/share/keyrings/brave-browser-archive-keyring.gpg https://brave-browser-apt-release.s3.brave.com/brave-core.asc,sudo curl -fsSLo /usr/share/keyrings/brave-browser-archive-keyring.gpg https://brave-browser-apt-release.s3.brave.com/brave-core.asc
2026-03-10,16:49:10,16:49:12,0.033,command,,Terminal,clear,clear
2026-03-10,16:49:11,16:49:13,0.033,command,,Terminal,sudo curl -fsSLo /usr/share/keyrings/brave-browser-archive-keyring.gpg https://brave-browser-apt-release.s3.brave.com/brave-core.asc,sudo curl -fsSLo /usr/share/keyrings/brave-browser-archive-keyring.gpg https://brave-browser-apt-release.s3.brave.com/brave-core.asc
2026-03-10,16:49:22,16:49:24,0.033,command,,Terminal,sudo nano /etc/apt/sources.list.d/brave-browser-release.list,sudo nano /etc/apt/sources.list.d/brave-browser-release.list
2026-03-10,16:50:45,16:50:47,0.033,command,,Terminal,curl -fsSLo brave-core.asc https://brave-browser-apt-release.s3.brave.com/brave-core.asc,curl -fsSLo brave-core.asc https://brave-browser-apt-release.s3.brave.com/brave-core.asc
2026-03-10,16:50:53,16:50:55,0.033,command,,Terminal,sudo gpg --dearmor brave-core.asc,sudo gpg --dearmor brave-core.asc
2026-03-10,16:51:05,16:51:07,0.033,command,,Terminal,sudo mv brave-core.asc.gpg /usr/share/keyrings/brave-browser-archive-keyring.gpg,sudo mv brave-core.asc.gpg /usr/share/keyrings/brave-browser-archive-keyring.gpg
2026-03-10,16:51:13,16:51:15,0.033,command,,Terminal,sudo apt update,sudo apt update
2026-03-10,16:51:31,16:51:33,0.033,command,,Terminal,exit,exit
2026-03-10,16:51:33,16:51:35,0.033,command,,Terminal,exit,exit
2026-03-10,17:28:42,17:28:44,0.033,command,,Terminal,git status,git status
2026-03-10,17:28:45,17:28:47,0.033,command,,Terminal,git add .,git add .
2026-03-10,17:28:50,17:28:52,0.033,command,,Terminal,git status,git status
2026-03-10,17:29:16,17:29:18,0.033,command,,Terminal,"git commit -m ""restructure Collect File Scripts""","git commit -m ""restructure Collect File Scripts"""
2026-03-10,17:29:18,17:29:20,0.033,command,,Terminal,clear,clear
2026-03-10,17:29:21,17:29:23,0.033,command,,Terminal,git status,git status
2026-03-10,17:29:25,17:29:27,0.033,command,,Terminal,clear,clear
