date,start,end,duration,event_type,file,app,command,raw,description
2026-04-11,14:37:55,14:38:07,0.2,app,,Google Chrome,,New Tab - Google Chrome,"Google Chrome, application, used to checked out New Tab"
2026-04-11,14:37:35,14:37:45,0.17,file,data_command.txt,Visual Studio Code,,data_command.txt - taskMonitor - Visual Studio Code,"data_command.txt, file, opened with Visual Studio Code, contains data related to Plain text document, text files, It serves as a data command."
2026-04-11,14:38:07,14:38:15,0.13,app,,Google Chrome,,History - Google Chrome,"Google Chrome, application, used to checked out History"
2026-04-11,14:37:53,14:37:55,0.03,app,,Google Chrome,,Google Chrome,"Google Chrome, application, used by the user"
2026-04-11,14:36:58,14:36:58,0.0,app,,taskMonitor,,taskMonitor,"taskMonitor, application, used by the user"
2026-04-11,12:21:34,12:21:36,0.033,command,,Terminal,code .,code .,"code ., command, executed in terminal, used to start visual studio code"
2026-04-11,12:21:51,12:21:53,0.033,command,,Terminal,conda env list,conda env list,"conda env list, command, executed in terminal"
2026-04-11,12:21:57,12:21:59,0.033,command,,Terminal,conda activate,conda activate,"conda activate, command, executed in terminal, used to activate an environment"
2026-04-11,12:22:06,12:22:08,0.033,command,,Terminal,conda activate MLproject_py311,conda activate MLproject_py311,"conda activate MLproject_py311, command, executed in terminal, used to activate an environment"
2026-04-11,12:22:10,12:22:12,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:22:18,12:22:20,0.033,command,,Terminal,python -m taskmonitor.gui.app,python -m taskmonitor.gui.app,"python -m taskmonitor.gui.app, command, executed in terminal, used to run the script of the specified library module + website / domain 'taskmonitor.gui.app' with the taskmonitor.gui.app file which is a It provides a task monitoring tool., Graphical user interface"
2026-04-11,12:22:21,12:22:23,0.033,command,,Terminal,clear,clear,"clear, command, executed in terminal, used to clear the screen"
2026-04-11,12:22:48,12:22:50,0.033,command,,Terminal,export QT_PLUGIN_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/plugins,export QT_PLUGIN_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/plugins,"export QT_PLUGIN_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/plugins, command, executed in terminal, used to set an environment variable in QT_PLUGIN_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/plugins"
2026-04-11,12:22:57,12:22:59,0.033,command,,Terminal,export QML2_IMPORT_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/qml,export QML2_IMPORT_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/qml,"export QML2_IMPORT_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/qml, command, executed in terminal, used to set an environment variable in QML2_IMPORT_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/qml"
2026-04-11,12:23:12,12:23:14,0.033,command,,Terminal,export LD_LIBRARY_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/lib,export LD_LIBRARY_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/lib,"export LD_LIBRARY_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/lib, command, executed in terminal, used to set an environment variable in LD_LIBRARY_PATH=$VIRTUAL_ENV/lib/python3.11/site-packages/PyQt6/Qt6/lib"
